Match type,Search term,Added/Excluded,Campaign,Ad group,Clicks,Impressions,CTR,Avg. CPC,Cost,Avg. position,Conversions,Cost / conv.,Conv. rate,View-through conv.,Conv. value / cost (opt.),Converted clicks,Conv. (opt.),Keyword
broad,gmc acadia power seat horizon,None,GM makes,GMC keywords,1,6,16.67%,0.28,0.28,3.3,0,0.00,0.00%,0,0.0,0,0,gmc acadia parts
broad,2006 gmc yukon xl denali replacement puddle light,None,GM makes,GMC keywords,1,1,100.00%,0.27,0.27,1.0,0,0.00,0.00%,0,0.0,0,0,gmc denali parts
broad,gmc envoy denali grill,None,GM makes,GMC keywords,1,10,10.00%,0.09,0.09,2.0,0,0.00,0.00%,0,0.0,0,0,gmc denali parts
phrase,2004 gmc parts,None,GM makes,GMC keywords,0,3,0.00%,0.00,0.00,3.7,0,0.00,0.00%,0,0.0,0,0,"""gmc parts"""
broad,gm throttle body,None,GM makes,GM keywords,0,12,0.00%,0.00,0.00,5.9,0,0.00,0.00%,0,0.0,0,0,gm parts
broad,gm 8655291,None,GM makes,GM keywords,1,1,100.00%,0.06,0.06,2.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,suburban replacement seats,None,GM makes,Chevy keywords,2,10,20.00%,0.27,0.54,2.4,0,0.00,0.00%,0,0.0,0,0,chevy suburban parts
broad,2004 2004 chevy suburban driver side window control unit,None,GM makes,Chevy keywords,1,1,100.00%,0.10,0.10,2.0,0,0.00,0.00%,0,0.0,0,0,chevy suburban parts
broad,saturn sky parts catalog,None,Saturn,previous keywords,2,9,22.22%,0.23,0.46,3.0,0,0.00,0.00%,0,0.0,0,0,"saturn ""part #"""
broad,2002 silverado white tailgate,None,GM makes,Chevy keywords,1,2,50.00%,0.24,0.24,4.5,0,0.00,0.00%,0,0.0,0,0,chevy silverado parts
broad,cadillac part numbers,None,GM makes,GM keywords,1,3,33.33%,0.33,0.33,4.3,0,0.00,0.00%,0,0.0,0,0,"gm ""part number"""
broad,2003 chevy 2500hd front fender liner,None,GM makes,Chevy keywords,0,1,0.00%,0.00,0.00,4.0,0,0.00,0.00%,0,0.0,0,0,chevy silverado parts
broad,gm 88967850,None,GM makes,GM keywords,1,3,33.33%,0.01,0.01,1.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,gm fuel pump assembly 2003 buick lesabre,None,GM makes,GM keywords,1,1,100.00%,0.17,0.17,2.0,0,0.00,0.00%,0,0.0,0,0,gm parts
broad,gm teomerstat,None,GM makes,GM keywords,1,1,100.00%,0.01,0.01,1.0,0,0.00,0.00%,0,0.0,0,0,general motors
