Match type,Search term,Added/Excluded,Campaign,Ad group,Clicks,Impressions,CTR,Avg. CPC,Cost,Avg. position,Conversions,Cost / conv.,Conv. rate,View-through conv.,Conv. value / cost (opt.),Converted clicks,Conv. (opt.),Keyword
broad,gm part 22765739,None,GM makes,GMC keywords,1,1,100.00%,0.29,0.29,2.0,0,0.00,0.00%,0,0.0,0,0,gmc part
broad,2006 cadillac cts oem radiator,None,GM makes,GM keywords,1,1,100.00%,0.30,0.30,3.0,0,0.00,0.00%,0,0.0,0,0,gm oem parts
broad,gmc spare tire hanger,None,GM makes,GM keywords,2,2,100.00%,0.32,0.64,3.5,0,0.00,0.00%,0,0.0,0,0,gm replacement parts
broad,2004 gmc denali headlight assembly,None,GM makes,GMC keywords,1,10,10.00%,0.38,0.38,3.2,0,0.00,0.00%,0,0.0,0,0,gmc denali parts
broad,part number for infector conecter on 2006 gmc duramax,None,GM makes,GM keywords,1,1,100.00%,0.14,0.14,2.0,0,0.00,0.00%,0,0.0,0,0,"gm ""part number"""
broad,gmc yukon seat cap,None,GM makes,GMC keywords,1,1,100.00%,0.16,0.16,1.0,0,0.00,0.00%,0,0.0,0,0,gmc denali parts
broad,gmpart 22731593,None,GM makes,GM keywords,1,2,50.00%,0.12,0.12,2.5,0,0.00,0.00%,0,0.0,0,0,"gm ""part number"""
broad,gm 12563829,None,GM makes,GM keywords,1,3,33.33%,0.13,0.13,3.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,gm 12573853,None,GM makes,GM keywords,2,8,25.00%,0.05,0.10,1.0,0,0.00,0.00%,0,0.0,0,0,general motors
broad,gm accessories heated seats suburban 2014,None,GM makes,Chevy keywords,1,1,100.00%,0.38,0.38,5.0,0,0.00,0.00%,0,0.0,0,0,chevy suburban parts
broad,2005 chevy colorado prop rod clip,None,GM makes,Chevy keywords,1,1,100.00%,0.24,0.24,1.0,0,0.00,0.00%,0,0.0,0,0,chevy colorado parts
broad,2006 cadillac oem alternator,None,GM makes,GM keywords,1,2,50.00%,0.20,0.20,2.5,0,0.00,0.00%,0,0.0,0,0,gm oem parts
broad,heated second row seats 2015 suburban parts,None,GM makes,Chevy keywords,1,1,100.00%,0.13,0.13,3.0,0,0.00,0.00%,0,0.0,0,0,chevy suburban parts
broad,diagram of gm part number 15598336,None,GM makes,GMC keywords,1,1,100.00%,0.30,0.30,3.0,0,0.00,0.00%,0,0.0,0,0,gmc part
broad,gmc sonoma interior parts arm rest,None,GM makes,GMC keywords,1,1,100.00%,0.18,0.18,4.0,0,0.00,0.00%,0,0.0,0,0,+gmc +parts
broad,1998 gmc 7500 power steering parts,None,GM makes,GMC keywords,1,4,25.00%,0.23,0.23,5.3,0,0.00,0.00%,0,0.0,0,0,+gmc +parts
